job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown,age,balance,day,duration,campaign,pdays,previous,INDEX,TARGET
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1333333333333333,0.711781206171108,0.0833333333333333,0.7192982456140351,-0.5,0.0,0.0,1244,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.9333333333333332,-0.2931276297335203,-1.0,0.5745614035087719,-0.5,0.0,0.0,3359,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9333333333333332,0.5792426367461431,-0.0833333333333333,-0.0482456140350877,0.5,0.0,0.0,2983,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5333333333333333,-0.3211781206171108,-0.75,-0.3991228070175439,0.0,0.0,0.0,4279,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2666666666666666,2.1577840112201963,-0.9166666666666666,-0.0701754385964912,0.0,0.0,0.0,4023,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2,7.3316970546984574,-1.0,-0.4868421052631579,0.5,0.0,0.0,4174,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,3.7363253856942498,-1.25,1.4912280701754386,0.0,0.0,0.0,2285,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8,-0.2819074333800841,1.0833333333333333,-0.0745614035087719,-0.5,0.0,0.0,158,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.8666666666666667,0.1690042075736325,-0.3333333333333333,0.3771929824561403,-0.5,0.0,0.0,3306,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2,-0.6016830294530154,1.1666666666666667,-0.1447368421052631,1.5,0.0,0.0,1874,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6,-0.2454417952314165,-0.9166666666666666,1.25,2.5,427.0,3.0,2332,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-0.7419354838709677,0.8333333333333334,-0.1885964912280701,-0.5,0.0,0.0,467,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,2.2580645161290325,1.0,4.495614035087719,-0.5,0.0,0.0,1592,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,0.2096774193548387,0.5833333333333334,-0.2807017543859649,0.0,0.0,0.0,1347,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.3333333333333333,3.4137447405329597,-1.0833333333333333,-0.3114035087719298,2.0,468.0,5.0,3439,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.2,-0.2208976157082749,-0.3333333333333333,0.0570175438596491,0.5,0.0,0.0,2703,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.1333333333333333,0.0182328190743338,-0.9166666666666666,-0.3859649122807017,-0.5,0.0,0.0,341,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6666666666666666,2.037166900420757,0.4166666666666667,-0.2850877192982456,0.5,0.0,0.0,3899,0
